Item Name,Qty,Price (total) (USD),Item link,Notes
Prusament PETG 2kg,1,$39.99,https://www.printedsolid.com/products/prusament-petg-signal-white-2kg-made-in-usa,Alot of high quality high strength filament for prototyping and creating the many 3d parts for the arm
MG90S 9g servo,2,$8.88,https://www.amazon.com/Miuzei-Geared-Helicopter-Arduino-Project/dp/B0BWJ4RKGV?th=1,Servos for end effector of the arm
3 pin servo extension wire,1,$6.49,https://www.amazon.com/Nvwadayu-Extension-Connector-Connectors-Quadcopter/dp/B0DJP3C2J7/,Extension cables for servo (its at the end of the arm!)
NEMA 17 stepper motors,4,$0.00,https://www.amazon.com/MOTOU%C2%AE-Nema17-Stepper-Motor-Efficient/dp/B0D41BSZWL/,NOTE: ALREADY PAID AND OWNED DO NOT SEND TO ME
Arduino Uno,1,$0.00,https://www.amazon.com/Arduino-UNO-Minima-ABX00080-Connector/dp/B0C78K4CD4/,NOTE: ALREADY PAID AND OWNED DO NOT SEND TO ME
CNC Shield V3 & DRV8825 stepsticks,1,$0.00,https://www.amazon.com/AITIAO-DRV8825-Expansion-Engraver-StepStick/dp/B0B24YS695,NOTE: ALREADY PAID AND OWNED DO NOT SEND TO ME
24v power supply,1,$0.00,https://www.amazon.com/NVVV-LRS-350-24-350-4W-Single-Switchable/dp/B08GPB8MK5/,NOTE: ALREADY PAID AND OWNED DO NOT SEND TO ME
Stepper motor wires,1,$13.99,https://www.amazon.com/REIFENG-Connector-Terminal-Paralled-Printer/dp/B07SLPLPL2/,"Not owned please send me, I need more wires"
TPU,1,$0.00,https://www.amazon.com/Overture-Filament-Flexible-Consumables-Dimensional/dp/B07VDP2S3P,NOTE: ALREADY PAID AND OWNED DO NOT SEND TO ME
M3 screws,1,$9.99,https://www.amazon.com/Fgruh-750PCS-Assortment-Washers-Assorted/dp/B0FGV5FCBN,Needed for assembly in many parts of the arm
8mm aluminum round,5,$8.99,https://www.amazon.com/Feelers-Aluminum-Round-Diameter-Length/dp/B0BNQ4Q87H/,used in joint supports to offload pressure on gearboxes
608 sized bearings ,38,$9.99,https://www.amazon.com/Dianrui-Bearings-Assortment-Furniture-Printing/dp/B0GCM2LM74/,used alongside aluminum bars for joint support
Mr105-2RS bearings,40,$0.00,https://www.amazon.com/uxcell-Groove-Bearings-Metric-Double/dp/B082PRVZ7B?th=1,NOTE: ALREADY PAID AND OWNED DO NOT SEND TO ME
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Total Price (USD):,$112.31,note: this wasnt the number i put on my original request but i realized i needed aluminum roundbar and 608 bearings for supporting the joints because the 3d printed planetary gearboxes definitely cant handle the whole weight of the arm.,,
